,date,group,count_users
0,2017-06-01,A,1016.0
1,2017-06-02,A,868.0
2,2017-06-03,A,704.0
3,2017-06-04,A,1013.0
4,2017-06-05,A,1072.0
5,2017-06-06,A,939.0
6,2017-06-07,A,905.0
7,2017-06-08,A,855.0
8,2017-06-09,A,865.0
9,2017-06-10,A,557.0
10,2017-06-11,A,1015.0
11,2017-06-12,A,833.0
12,2017-06-13,A,1060.0
13,2017-06-14,A,1040.0
14,2017-06-15,A,881.0
15,2017-06-16,A,492.0
16,2017-06-17,A,566.0
17,2017-06-18,A,941.0
18,2017-06-19,A,696.0
19,2017-06-20,A,803.0
20,2017-06-21,A,908.0
21,2017-06-22,A,853.0
22,2017-06-23,A,647.0
23,2017-06-24,A,541.0
24,2017-06-25,A,871.0
25,2017-06-26,A,1021.0
26,2017-06-27,A,1005.0
27,2017-06-28,A,831.0
28,2017-06-29,A,806.0
29,2017-06-30,A,679.0
30,2017-07-01,A,987.0
31,2017-06-01,B,1008.0
32,2017-06-02,B,812.0
33,2017-06-03,B,707.0
34,2017-06-04,B,1092.0
35,2017-06-05,B,999.0
36,2017-06-06,B,921.0
37,2017-06-07,B,1002.0
38,2017-06-08,B,920.0
39,2017-06-09,B,855.0
40,2017-06-10,B,504.0
41,2017-06-11,B,1019.0
42,2017-06-12,B,756.0
43,2017-06-13,B,1091.0
44,2017-06-14,B,1057.0
45,2017-06-15,B,758.0
46,2017-06-16,B,567.0
47,2017-06-17,B,579.0
48,2017-06-18,B,1043.0
49,2017-06-19,B,674.0
50,2017-06-20,B,781.0
51,2017-06-21,B,923.0
52,2017-06-22,B,914.0
53,2017-06-23,B,761.0
54,2017-06-24,B,517.0
55,2017-06-25,B,957.0
56,2017-06-26,B,953.0
57,2017-06-27,B,1018.0
58,2017-06-28,B,920.0
59,2017-06-29,B,739.0
60,2017-06-30,B,679.0
61,2017-07-01,B,1015.0
